Year,SF6,NF3
1990 ,72.33731639,0.1024
1991 ,105.5512277,0.1322
1992 ,143.664129,0.153
1993 ,191.9646774,0.1738
1994 ,240.5176555,0.2032
1995 ,284.5250532,0.2438
1996 ,307.1260069,0.2821
1997 ,345.3457246,0.3264
1998 ,366.821176,0.3411
1999 ,415.6678053,0.7311
2000 ,441.3517884,1.9946
2001 ,483.9801326,3.855
2002 ,566.7765878,5.9565
2003 ,598.9495307,9.5452
2004 ,671.8029442,18.77756
2005 ,741.4267087,28.07526
2006 ,946.7479698,38.52009
2007 ,1198.143322,73.23825
2008 ,1385.616646,86.32781
2009 ,1616.619546,107.51053
2010 ,1860.406601,137.40028
2011 ,2114.309221,187.72005
2012 ,2393.696748,226.78807
2013 ,2694.595287,306.50424
2014 ,3002.873062,447.11437
2015 ,3341.826836,610.15321
2016 ,3721.065009,850.48201
2017 ,4127.124393,1067.59959
2018 ,4568.448918,1224.12071
2019 ,5047.46222,1692.89279
2020 ,5395.766376,1596.740502
2021 ,5627.954439,1411.889873
2022 ,5909.97031,1725.53495
2023 ,6444.674261,1824.19725
2024 ,6941.48059,1934.636343

